DT,SODAR-100
2022-02-20 00:10:00,4.97
2022-02-20 00:20:00,5.37
2022-02-20 00:30:00,4.87
2022-02-20 00:40:00,5.19
2022-02-20 00:50:00,6.26
2022-02-20 01:00:00,5.89
2022-02-20 01:10:00,5.57
2022-02-20 01:20:00,5.15
2022-02-20 01:30:00,4.71
2022-02-20 01:40:00,6.43
2022-02-20 01:50:00,9.99
2022-02-20 02:00:00,7.13
2022-02-20 02:10:00,5.31
2022-02-20 02:20:00,6.17
2022-02-20 02:30:00,5.84
2022-02-20 02:40:00,4.56
2022-02-20 02:50:00,4.08
2022-02-20 03:00:00,5.07
2022-02-20 03:10:00,5.67
2022-02-20 03:20:00,8.02
2022-02-20 03:30:00,4.57
2022-02-20 03:40:00,4.59
2022-02-20 03:50:00,4.2
2022-02-20 04:00:00,4.49
2022-02-20 04:10:00,4.31
2022-02-20 04:20:00,4.15
2022-02-20 04:30:00,3.1
2022-02-20 04:40:00,3.53
2022-02-20 04:50:00,6.57
2022-02-20 05:00:00,4.04
2022-02-20 05:10:00,4.61
2022-02-20 05:20:00,4.71
2022-02-20 05:30:00,3.53
2022-02-20 05:40:00,2.64
2022-02-20 05:50:00,2.84
2022-02-20 06:00:00,3.47
2022-02-20 06:10:00,4.29
2022-02-20 06:20:00,4.64
2022-02-20 06:30:00,4.44
2022-02-20 06:40:00,3.78
2022-02-20 06:50:00,3.66
2022-02-20 07:00:00,3.38
2022-02-20 07:10:00,2.27
2022-02-20 07:20:00,2.43
2022-02-20 07:30:00,2.67
2022-02-20 07:40:00,2.11
2022-02-20 07:50:00,1.73
2022-02-20 08:00:00,2.42
2022-02-20 08:10:00,2.75
2022-02-20 08:20:00,3.82
2022-02-20 08:30:00,3.84
2022-02-20 08:40:00,4.35
2022-02-20 08:50:00,3.89
2022-02-20 09:00:00,3.94
2022-02-20 09:10:00,4.13
2022-02-20 09:20:00,4.44
2022-02-20 09:30:00,4.57
2022-02-20 09:40:00,5.03
2022-02-20 09:50:00,4.9
2022-02-20 10:00:00,4.78
2022-02-20 10:10:00,5.28
2022-02-20 10:20:00,5.23
2022-02-20 10:30:00,5.25
2022-02-20 10:40:00,5.44
2022-02-20 10:50:00,5.63
2022-02-20 11:00:00,5.49
2022-02-20 11:10:00,6.54
2022-02-20 11:20:00,8.74
2022-02-20 11:30:00,10.84
2022-02-20 11:40:00,8.73
2022-02-20 11:50:00,6.21
2022-02-20 12:00:00,4.97
2022-02-20 12:10:00,3.32
2022-02-20 12:20:00,4.61
2022-02-20 12:30:00,5.73
2022-02-20 12:40:00,5.75
2022-02-20 12:50:00,6.72
2022-02-20 13:00:00,6.7
2022-02-20 13:10:00,7.32
2022-02-20 13:20:00,8.82
2022-02-20 13:30:00,10.38
2022-02-20 13:40:00,10.78
2022-02-20 13:50:00,9.47
2022-02-20 14:00:00,8.96
2022-02-20 14:10:00,8.58
2022-02-20 14:20:00,7.82
2022-02-20 14:30:00,7.8
2022-02-20 14:40:00,7.27
2022-02-20 14:50:00,6.82
2022-02-20 15:00:00,7.0
2022-02-20 15:10:00,6.11
2022-02-20 15:20:00,6.13
2022-02-20 15:30:00,5.81
2022-02-20 15:40:00,5.43
2022-02-20 15:50:00,5.86
2022-02-20 16:00:00,6.5
2022-02-20 16:10:00,6.87
2022-02-20 16:20:00,6.7
2022-02-20 16:30:00,6.57
2022-02-20 16:40:00,5.81
2022-02-20 16:50:00,5.96
2022-02-20 17:00:00,5.97
2022-02-20 17:10:00,6.39
2022-02-20 17:20:00,6.63
2022-02-20 17:30:00,6.95
2022-02-20 17:40:00,6.46
2022-02-20 17:50:00,6.15
2022-02-20 18:00:00,6.15
2022-02-20 18:10:00,6.08
2022-02-20 18:20:00,6.37
2022-02-20 18:30:00,7.33
2022-02-20 18:40:00,6.94
2022-02-20 18:50:00,7.06
2022-02-20 19:00:00,6.93
2022-02-20 19:10:00,7.08
2022-02-20 19:20:00,8.3
2022-02-20 19:30:00,8.47
2022-02-20 19:40:00,8.28
2022-02-20 19:50:00,8.61
2022-02-20 20:00:00,9.64
2022-02-20 20:10:00,7.05
2022-02-20 20:20:00,7.69
2022-02-20 20:30:00,6.71
2022-02-20 20:40:00,6.12
2022-02-20 20:50:00,7.22
2022-02-20 21:00:00,6.27
2022-02-20 21:10:00,5.83
2022-02-20 21:20:00,5.87
2022-02-20 21:30:00,6.32
2022-02-20 21:40:00,6.18
2022-02-20 21:50:00,5.78
2022-02-20 22:00:00,5.97
2022-02-20 22:10:00,5.45
2022-02-20 22:20:00,5.45
2022-02-20 22:30:00,4.14
2022-02-20 22:40:00,4.02
2022-02-20 22:50:00,4.58
2022-02-20 23:00:00,5.31
2022-02-20 23:20:00,7.31
2022-02-20 23:30:00,8.36
2022-02-20 23:40:00,9.43
2022-02-20 23:50:00,9.65
2022-02-21 00:00:00,8.86
2022-02-21 00:10:00,8.48
2022-02-21 00:20:00,8.35
2022-02-21 00:30:00,8.67
2022-02-21 00:40:00,9.61
2022-02-21 00:50:00,8.94
2022-02-21 01:00:00,9.35
2022-02-21 01:10:00,8.97
2022-02-21 01:20:00,8.19
2022-02-21 01:30:00,8.25
2022-02-21 01:40:00,7.73
2022-02-21 01:50:00,8.87
2022-02-21 02:00:00,7.69
2022-02-21 02:10:00,6.79
2022-02-21 02:20:00,5.68
2022-02-21 02:30:00,4.1
2022-02-21 02:40:00,3.79
2022-02-21 02:50:00,6.55
2022-02-21 03:00:00,6.7
2022-02-21 03:10:00,6.23
2022-02-21 03:20:00,5.3
2022-02-21 03:30:00,5.79
2022-02-21 03:40:00,6.22
2022-02-21 03:50:00,6.79
2022-02-21 04:00:00,6.52
2022-02-21 04:10:00,7.11
2022-02-21 04:20:00,7.06
2022-02-21 04:30:00,6.75
2022-02-21 04:40:00,7.52
2022-02-21 04:50:00,7.03
2022-02-21 05:00:00,6.94
2022-02-21 05:10:00,6.12
2022-02-21 05:20:00,6.38
2022-02-21 05:30:00,6.74
2022-02-21 05:40:00,7.75
2022-02-21 05:50:00,8.12
2022-02-21 06:00:00,7.43
2022-02-21 06:10:00,7.93
2022-02-21 06:20:00,7.98
2022-02-21 06:30:00,7.97
2022-02-21 06:40:00,8.11
2022-02-21 06:50:00,7.23
2022-02-21 07:00:00,6.64
2022-02-21 07:10:00,5.68
2022-02-21 07:20:00,4.88
2022-02-21 07:30:00,4.27
2022-02-21 07:40:00,5.83
2022-02-21 07:50:00,5.72
2022-02-21 08:00:00,6.36
2022-02-21 08:10:00,6.87
2022-02-21 08:20:00,7.26
2022-02-21 08:30:00,7.32
2022-02-21 08:40:00,8.24
2022-02-21 08:50:00,8.71
2022-02-21 09:00:00,8.2
2022-02-21 09:10:00,8.12
2022-02-21 09:20:00,9.49
2022-02-21 09:30:00,10.38
2022-02-21 09:40:00,10.26
2022-02-21 09:50:00,9.5
