DT,SODAR-100
2021-11-10 17:20:00,5.83
2021-11-10 17:30:00,5.99
2021-11-10 17:40:00,6.67
2021-11-10 17:50:00,6.15
2021-11-10 18:00:00,5.9
2021-11-10 18:10:00,5.84
2021-11-10 18:20:00,5.8
2021-11-10 18:30:00,5.93
2021-11-10 18:40:00,6.22
2021-11-10 18:50:00,6.24
2021-11-10 19:00:00,6.15
2021-11-10 19:10:00,5.55
2021-11-10 19:20:00,6.53
2021-11-10 19:30:00,6.44
2021-11-10 19:40:00,6.61
2021-11-10 19:50:00,7.02
2021-11-10 20:00:00,7.38
2021-11-10 20:10:00,6.76
2021-11-10 20:20:00,7.07
2021-11-10 20:30:00,7.08
2021-11-10 20:40:00,7.34
2021-11-10 20:50:00,7.39
2021-11-10 21:00:00,7.3
2021-11-10 21:10:00,7.34
2021-11-10 21:20:00,7.58
2021-11-10 21:30:00,7.17
2021-11-10 21:40:00,7.77
2021-11-10 21:50:00,7.37
2021-11-10 22:00:00,7.91
2021-11-10 22:10:00,7.96
2021-11-10 22:20:00,7.39
2021-11-10 22:30:00,7.5
2021-11-10 22:40:00,7.84
2021-11-10 22:50:00,8.41
2021-11-10 23:00:00,9.54
2021-11-10 23:10:00,8.18
2021-11-10 23:20:00,8.31
2021-11-10 23:30:00,8.67
2021-11-10 23:40:00,8.99
2021-11-10 23:50:00,8.57
2021-11-11 00:00:00,7.82
2021-11-11 00:10:00,7.52
2021-11-11 00:20:00,8.71
2021-11-11 00:30:00,8.37
2021-11-11 00:40:00,8.63
2021-11-11 00:50:00,8.7
2021-11-11 01:00:00,9.4
2021-11-11 01:10:00,8.64
2021-11-11 01:20:00,8.5
2021-11-11 01:30:00,8.68
2021-11-11 01:40:00,8.37
2021-11-11 01:50:00,8.86
2021-11-11 02:00:00,8.37
2021-11-11 02:10:00,7.87
2021-11-11 02:20:00,7.43
2021-11-11 02:30:00,8.17
2021-11-11 02:40:00,7.97
2021-11-11 02:50:00,7.67
2021-11-11 03:00:00,8.29
2021-11-11 03:10:00,7.98
2021-11-11 03:20:00,7.43
2021-11-11 03:30:00,7.05
2021-11-11 03:40:00,7.0
2021-11-11 03:50:00,8.75
2021-11-11 04:00:00,8.77
2021-11-11 04:10:00,8.38
