DT,SODAR-100
2022-02-25 10:40:00,7.65
2022-02-25 10:50:00,7.54
2022-02-25 11:00:00,9.4
2022-02-25 11:10:00,9.18
2022-02-25 11:20:00,10.49
2022-02-25 11:30:00,10.14
2022-02-25 11:40:00,10.66
2022-02-25 11:50:00,12.09
2022-02-25 12:00:00,10.03
2022-02-25 12:10:00,11.03
2022-02-25 12:20:00,11.1
2022-02-25 12:30:00,10.09
2022-02-25 12:40:00,10.09
2022-02-25 12:50:00,9.39
2022-02-25 13:00:00,9.26
2022-02-25 13:10:00,10.54
2022-02-25 13:20:00,10.13
2022-02-25 13:30:00,10.7
2022-02-25 13:40:00,11.6
2022-02-25 13:50:00,12.38
2022-02-25 14:00:00,11.35
2022-02-25 14:10:00,10.63
2022-02-25 14:20:00,11.35
2022-02-25 14:30:00,10.09
2022-02-25 14:40:00,11.23
2022-02-25 14:50:00,10.93
2022-02-25 15:00:00,12.44
2022-02-25 15:10:00,10.47
2022-02-25 15:20:00,11.88
2022-02-25 15:30:00,10.82
2022-02-25 15:40:00,9.87
2022-02-25 15:50:00,11.3
2022-02-25 16:00:00,11.63
2022-02-25 16:10:00,12.24
2022-02-25 16:20:00,12.29
2022-02-25 16:30:00,11.6
2022-02-25 16:40:00,12.26
2022-02-25 16:50:00,11.27
2022-02-25 17:00:00,10.66
2022-02-25 17:10:00,10.63
2022-02-25 17:20:00,10.93
2022-02-25 17:30:00,9.24
2022-02-25 17:40:00,9.38
2022-02-25 17:50:00,10.61
2022-02-25 18:00:00,11.52
2022-02-25 18:10:00,10.08
2022-02-25 18:20:00,10.8
2022-02-25 18:30:00,11.49
2022-02-25 18:40:00,10.31
2022-02-25 18:50:00,10.26
2022-02-25 19:00:00,9.35
2022-02-25 19:10:00,11.36
2022-02-25 19:20:00,10.38
2022-02-25 19:30:00,8.57
2022-02-25 19:40:00,9.68
2022-02-25 19:50:00,9.23
2022-02-25 20:00:00,8.33
2022-02-25 20:10:00,9.75
2022-02-25 20:20:00,9.82
2022-02-25 20:30:00,9.55
2022-02-25 20:40:00,10.26
2022-02-25 20:50:00,9.6
2022-02-25 21:00:00,9.43
2022-02-25 21:10:00,10.73
2022-02-25 21:20:00,10.88
2022-02-25 21:30:00,11.09
2022-02-25 21:40:00,10.47
2022-02-25 21:50:00,9.74
2022-02-25 22:00:00,8.78
2022-02-25 22:10:00,9.14
2022-02-25 22:20:00,9.47
2022-02-25 22:30:00,9.1
2022-02-25 22:40:00,9.38
2022-02-25 22:50:00,10.57
2022-02-25 23:00:00,9.68
2022-02-25 23:10:00,10.68
2022-02-25 23:20:00,8.77
2022-02-25 23:30:00,9.72
2022-02-25 23:40:00,9.06
2022-02-25 23:50:00,9.46
2022-02-26 00:00:00,9.78
2022-02-26 00:10:00,9.57
2022-02-26 00:20:00,8.78
2022-02-26 00:30:00,9.36
2022-02-26 00:40:00,7.98
2022-02-26 00:50:00,7.45
2022-02-26 01:00:00,6.98
2022-02-26 01:10:00,7.31
2022-02-26 01:20:00,7.7
2022-02-26 01:30:00,7.68
2022-02-26 01:40:00,7.76
2022-02-26 01:50:00,8.35
2022-02-26 02:00:00,7.51
2022-02-26 02:10:00,6.75
2022-02-26 02:20:00,3.83
2022-02-26 02:30:00,4.84
2022-02-26 02:40:00,5.16
2022-02-26 02:50:00,4.99
2022-02-26 03:00:00,5.38
2022-02-26 03:10:00,7.0
2022-02-26 03:20:00,7.32
2022-02-26 03:30:00,7.74
2022-02-26 03:40:00,7.85
2022-02-26 03:50:00,6.94
2022-02-26 04:00:00,6.45
2022-02-26 04:10:00,6.52
2022-02-26 04:20:00,6.89
2022-02-26 04:30:00,6.66
2022-02-26 04:40:00,6.32
2022-02-26 04:50:00,5.94
2022-02-26 05:00:00,5.51
2022-02-26 05:10:00,5.25
2022-02-26 05:20:00,6.09
2022-02-26 05:30:00,6.47
2022-02-26 05:40:00,6.47
2022-02-26 05:50:00,6.55
2022-02-26 06:00:00,7.35
2022-02-26 06:10:00,7.37
2022-02-26 06:20:00,7.03
2022-02-26 06:30:00,7.46
2022-02-26 06:40:00,7.52
2022-02-26 06:50:00,6.99
2022-02-26 07:00:00,6.49
2022-02-26 07:10:00,5.39
2022-02-26 07:20:00,5.7
2022-02-26 07:30:00,5.11
2022-02-26 07:40:00,5.29
2022-02-26 07:50:00,4.59
2022-02-26 08:00:00,6.35
2022-02-26 08:10:00,6.07
2022-02-26 08:20:00,7.13
2022-02-26 08:30:00,7.9
2022-02-26 08:40:00,9.02
2022-02-26 08:50:00,8.22
2022-02-26 09:00:00,7.66
2022-02-26 09:10:00,7.41
2022-02-26 09:20:00,7.66
2022-02-26 09:30:00,8.57
2022-02-26 09:40:00,8.17
2022-02-26 09:50:00,8.65
2022-02-26 10:00:00,9.61
2022-02-26 10:10:00,9.1
2022-02-26 10:20:00,9.35
2022-02-26 10:30:00,10.55
2022-02-26 10:40:00,9.67
2022-02-26 10:50:00,10.27
2022-02-26 11:00:00,9.94
2022-02-26 11:10:00,10.68
2022-02-26 11:20:00,11.75
2022-02-26 11:30:00,12.17
2022-02-26 11:40:00,11.29
2022-02-26 11:50:00,12.23
2022-02-26 12:00:00,11.21
2022-02-26 12:10:00,11.61
2022-02-26 12:20:00,11.47
2022-02-26 12:30:00,10.92
2022-02-26 12:40:00,12.13
2022-02-26 12:50:00,12.49
2022-02-26 13:00:00,10.84
2022-02-26 13:10:00,10.55
2022-02-26 13:20:00,11.26
2022-02-26 13:30:00,12.39
2022-02-26 13:40:00,11.03
2022-02-26 13:50:00,11.76
2022-02-26 14:00:00,10.73
2022-02-26 14:10:00,11.32
2022-02-26 14:20:00,9.59
2022-02-26 14:30:00,9.55
2022-02-26 14:40:00,10.39
2022-02-26 14:50:00,8.93
2022-02-26 15:00:00,10.64
2022-02-26 15:10:00,10.49
2022-02-26 15:20:00,8.91
2022-02-26 15:30:00,7.76
2022-02-26 15:40:00,9.35
2022-02-26 15:50:00,9.55
2022-02-26 16:00:00,9.57
2022-02-26 16:10:00,7.94
2022-02-26 16:20:00,9.33
2022-02-26 16:30:00,9.04
2022-02-26 16:40:00,9.15
2022-02-26 16:50:00,8.43
2022-02-26 17:00:00,8.11
2022-02-26 17:10:00,9.01
2022-02-26 17:20:00,8.51
2022-02-26 17:30:00,7.93
2022-02-26 17:40:00,9.09
2022-02-26 17:50:00,7.98
2022-02-26 18:00:00,8.49
2022-02-26 18:10:00,8.0
2022-02-26 18:20:00,9.86
2022-02-26 18:30:00,8.61
2022-02-26 18:40:00,8.04
2022-02-26 18:50:00,8.52
2022-02-26 19:00:00,8.82
2022-02-26 19:10:00,7.86
2022-02-26 19:20:00,7.95
2022-02-26 19:30:00,7.8
2022-02-26 19:40:00,8.06
2022-02-26 19:50:00,7.9
2022-02-26 20:00:00,8.64
2022-02-26 20:10:00,7.39
2022-02-26 20:20:00,8.35
2022-02-26 20:30:00,8.46
2022-02-26 20:40:00,7.93
2022-02-26 20:50:00,7.7
2022-02-26 21:00:00,8.15
2022-02-26 21:10:00,8.34
2022-02-26 21:20:00,8.65
2022-02-26 21:30:00,8.01
2022-02-26 21:40:00,8.72
2022-02-26 21:50:00,7.68
2022-02-26 22:00:00,7.93
2022-02-26 22:10:00,8.05
2022-02-26 22:20:00,7.98
2022-02-26 22:30:00,8.02
2022-02-26 22:40:00,8.21
2022-02-26 22:50:00,8.52
2022-02-26 23:00:00,7.88
2022-02-26 23:10:00,7.66
2022-02-26 23:20:00,7.74
2022-02-26 23:30:00,8.45
2022-02-26 23:40:00,7.96
2022-02-26 23:50:00,7.5
2022-02-27 00:00:00,8.04
2022-02-27 00:10:00,7.9
2022-02-27 00:20:00,8.15
2022-02-27 00:30:00,7.17
2022-02-27 00:40:00,7.07
2022-02-27 00:50:00,7.2
2022-02-27 01:00:00,8.2
2022-02-27 01:10:00,7.74
2022-02-27 01:20:00,7.9
2022-02-27 01:30:00,7.25
2022-02-27 01:40:00,6.81
2022-02-27 01:50:00,6.51
2022-02-27 02:00:00,6.19
2022-02-27 02:10:00,7.18
2022-02-27 02:20:00,7.25
2022-02-27 02:30:00,6.68
2022-02-27 02:40:00,6.79
2022-02-27 02:50:00,6.52
2022-02-27 03:00:00,7.37
2022-02-27 03:10:00,7.24
2022-02-27 03:20:00,6.87
2022-02-27 03:30:00,6.98
2022-02-27 03:40:00,7.09
2022-02-27 03:50:00,6.98
2022-02-27 04:00:00,7.17
2022-02-27 04:10:00,6.38
2022-02-27 04:20:00,6.43
2022-02-27 04:30:00,6.44
2022-02-27 04:40:00,7.12
2022-02-27 04:50:00,7.26
2022-02-27 05:00:00,7.66
2022-02-27 05:10:00,7.75
2022-02-27 05:20:00,7.68
2022-02-27 05:30:00,6.39
2022-02-27 05:40:00,4.83
2022-02-27 05:50:00,4.56
2022-02-27 06:00:00,5.92
2022-02-27 06:10:00,5.64
2022-02-27 06:20:00,5.61
2022-02-27 06:30:00,6.33
2022-02-27 06:40:00,5.92
2022-02-27 06:50:00,6.23
2022-02-27 07:00:00,6.46
2022-02-27 07:10:00,5.85
2022-02-27 07:20:00,5.76
2022-02-27 07:30:00,4.95
2022-02-27 07:40:00,5.4
2022-02-27 07:50:00,5.68
2022-02-27 08:00:00,4.3
2022-02-27 08:10:00,4.75
2022-02-27 08:20:00,5.57
2022-02-27 08:30:00,6.51
2022-02-27 08:40:00,8.68
2022-02-27 08:50:00,9.11
2022-02-27 09:00:00,8.01
2022-02-27 09:10:00,7.53
2022-02-27 09:20:00,8.57
2022-02-27 09:30:00,9.17
2022-02-27 09:40:00,8.65
2022-02-27 09:50:00,7.66
2022-02-27 10:00:00,7.67
2022-02-27 10:10:00,7.57
2022-02-27 10:20:00,8.01
2022-02-27 10:30:00,9.18
2022-02-27 10:40:00,9.12
2022-02-27 10:50:00,10.16
2022-02-27 11:00:00,8.9
2022-02-27 11:10:00,10.3
2022-02-27 11:20:00,9.05
2022-02-27 11:30:00,8.91
2022-02-27 11:40:00,8.62
2022-02-27 11:50:00,9.44
2022-02-27 12:00:00,9.78
2022-02-27 12:10:00,9.57
2022-02-27 12:20:00,10.03
2022-02-27 12:30:00,10.28
2022-02-27 12:40:00,9.54
2022-02-27 12:50:00,9.68
2022-02-27 13:00:00,9.4
2022-02-27 13:10:00,11.04
2022-02-27 13:20:00,8.5
2022-02-27 13:30:00,9.87
2022-02-27 13:40:00,11.63
2022-02-27 13:50:00,10.45
2022-02-27 14:00:00,9.57
2022-02-27 14:10:00,10.29
2022-02-27 14:20:00,9.56
2022-02-27 14:30:00,8.96
2022-02-27 14:40:00,10.08
2022-02-27 14:50:00,10.14
2022-02-27 15:00:00,10.06
2022-02-27 15:10:00,9.64
2022-02-27 15:20:00,8.91
