DT,SODAR-100
2022-03-26 12:40:00,7.98
2022-03-26 12:50:00,8.98
2022-03-26 13:00:00,8.7
2022-03-26 13:10:00,8.99
2022-03-26 13:20:00,9.23
2022-03-26 13:30:00,9.36
2022-03-26 13:40:00,8.5
2022-03-26 13:50:00,10.28
2022-03-26 14:00:00,8.61
2022-03-26 14:10:00,9.35
2022-03-26 14:20:00,10.31
2022-03-26 14:30:00,11.21
2022-03-26 14:40:00,10.54
2022-03-26 14:50:00,9.9
2022-03-26 15:00:00,11.41
2022-03-26 15:10:00,9.02
2022-03-26 15:20:00,9.4
2022-03-26 15:30:00,8.89
2022-03-26 15:40:00,9.53
2022-03-26 15:50:00,10.58
2022-03-26 16:00:00,10.02
2022-03-26 16:10:00,8.74
2022-03-26 16:20:00,10.05
2022-03-26 16:30:00,8.09
2022-03-26 16:40:00,8.09
2022-03-26 16:50:00,7.94
2022-03-26 17:00:00,7.61
2022-03-26 17:10:00,6.14
2022-03-26 17:20:00,7.89
2022-03-26 17:30:00,8.28
2022-03-26 17:40:00,7.65
2022-03-26 17:50:00,6.79
2022-03-26 18:00:00,6.85
2022-03-26 18:10:00,7.5
2022-03-26 18:20:00,7.04
2022-03-26 18:30:00,6.6
2022-03-26 18:40:00,6.65
2022-03-26 19:00:00,5.0
2022-03-26 19:10:00,4.29
2022-03-26 19:20:00,3.93
2022-03-26 20:30:00,5.04
2022-03-26 20:40:00,4.25
2022-03-26 20:50:00,4.47
2022-03-26 21:00:00,5.41
2022-03-26 21:10:00,4.97
2022-03-26 21:20:00,5.01
2022-03-26 21:30:00,5.01
2022-03-26 21:40:00,5.81
2022-03-26 21:50:00,6.31
2022-03-26 22:00:00,6.17
2022-03-26 22:10:00,5.25
2022-03-26 22:20:00,4.56
2022-03-26 22:30:00,5.04
2022-03-26 22:40:00,4.92
2022-03-26 22:50:00,4.81
2022-03-26 23:00:00,4.42
2022-03-26 23:10:00,3.35
2022-03-26 23:20:00,3.3
2022-03-26 23:30:00,3.88
2022-03-26 23:40:00,4.43
2022-03-26 23:50:00,4.52
2022-03-27 00:00:00,4.33
2022-03-27 00:10:00,3.64
2022-03-27 00:20:00,3.59
2022-03-27 00:30:00,3.48
2022-03-27 00:40:00,3.27
2022-03-27 00:50:00,3.98
2022-03-27 01:00:00,4.41
2022-03-27 01:10:00,5.47
2022-03-27 01:20:00,4.81
2022-03-27 01:30:00,4.15
2022-03-27 01:40:00,4.76
2022-03-27 01:50:00,5.76
2022-03-27 02:00:00,6.31
2022-03-27 02:10:00,6.98
2022-03-27 02:20:00,6.59
2022-03-27 02:30:00,6.62
2022-03-27 02:40:00,4.76
2022-03-27 02:50:00,4.91
2022-03-27 03:00:00,4.92
2022-03-27 03:10:00,5.51
2022-03-27 03:20:00,5.41
2022-03-27 03:30:00,5.09
2022-03-27 03:40:00,5.12
