DT,SODAR-100
2022-03-09 00:10:00,6.47
2022-03-09 00:20:00,6.55
2022-03-09 00:30:00,7.8
2022-03-09 00:40:00,5.37
2022-03-09 00:50:00,7.12
2022-03-09 01:00:00,7.87
2022-03-09 01:10:00,7.49
2022-03-09 01:20:00,7.83
2022-03-09 01:30:00,7.34
2022-03-09 01:40:00,8.14
2022-03-09 01:50:00,7.84
2022-03-09 02:00:00,8.09
2022-03-09 02:10:00,7.66
2022-03-09 02:20:00,8.07
2022-03-09 02:30:00,9.83
2022-03-09 02:40:00,8.9
2022-03-09 03:00:00,7.8
2022-03-09 03:10:00,5.92
2022-03-09 03:20:00,4.61
2022-03-09 03:30:00,5.97
2022-03-09 03:40:00,7.93
2022-03-09 03:50:00,8.2
2022-03-09 04:00:00,9.24
2022-03-09 04:10:00,8.18
2022-03-09 04:20:00,8.55
2022-03-09 04:30:00,9.5
2022-03-09 04:40:00,8.43
2022-03-09 04:50:00,5.37
2022-03-09 05:00:00,3.36
2022-03-09 05:10:00,3.05
2022-03-09 05:20:00,3.35
2022-03-09 05:30:00,3.43
2022-03-09 05:40:00,3.4
2022-03-09 05:50:00,4.58
2022-03-09 06:00:00,5.01
2022-03-09 06:10:00,4.33
2022-03-09 06:20:00,4.05
2022-03-09 06:30:00,4.38
2022-03-09 06:40:00,3.45
2022-03-09 06:50:00,4.69
2022-03-09 07:00:00,4.07
2022-03-09 07:10:00,4.98
2022-03-09 07:20:00,4.4
2022-03-09 07:30:00,3.94
2022-03-09 07:40:00,4.56
2022-03-09 07:50:00,4.93
2022-03-09 08:00:00,7.54
2022-03-09 08:10:00,8.66
2022-03-09 08:20:00,6.56
2022-03-09 08:30:00,5.86
2022-03-09 08:40:00,5.03
2022-03-09 08:50:00,5.4
2022-03-09 09:00:00,6.3
2022-03-09 09:10:00,6.47
2022-03-09 09:20:00,6.53
2022-03-09 09:30:00,5.73
2022-03-09 09:40:00,5.9
2022-03-09 09:50:00,7.57
2022-03-09 10:00:00,7.8
2022-03-09 10:10:00,5.93
2022-03-09 10:20:00,7.25
2022-03-09 10:30:00,7.17
2022-03-09 10:40:00,8.32
2022-03-09 10:50:00,5.34
2022-03-09 11:00:00,6.8
2022-03-09 11:10:00,6.37
2022-03-09 11:20:00,5.37
2022-03-09 11:30:00,6.45
2022-03-09 11:40:00,7.13
2022-03-09 11:50:00,7.14
2022-03-09 12:00:00,8.56
2022-03-09 12:10:00,8.48
2022-03-09 12:20:00,7.95
2022-03-09 12:30:00,7.55
2022-03-09 12:40:00,6.11
2022-03-09 12:50:00,5.77
2022-03-09 13:00:00,5.77
2022-03-09 13:10:00,5.72
2022-03-09 13:20:00,5.4
2022-03-09 13:30:00,6.01
2022-03-09 13:40:00,5.88
2022-03-09 13:50:00,5.77
2022-03-09 14:00:00,7.1
2022-03-09 14:10:00,7.28
2022-03-09 14:20:00,6.95
2022-03-09 14:30:00,6.86
2022-03-09 14:40:00,6.87
2022-03-09 14:50:00,7.03
2022-03-09 15:00:00,7.3
2022-03-09 15:10:00,7.43
2022-03-09 15:20:00,7.39
2022-03-09 15:30:00,6.65
2022-03-09 15:40:00,7.19
2022-03-09 15:50:00,7.42
2022-03-09 16:00:00,7.52
2022-03-09 16:10:00,6.9
2022-03-09 16:20:00,8.08
