DT,SODAR-100
2022-04-14 10:50:00,7.0
2022-04-14 11:00:00,7.18
2022-04-14 11:10:00,6.74
2022-04-14 11:20:00,6.93
2022-04-14 11:30:00,6.96
2022-04-14 11:40:00,5.81
2022-04-14 11:50:00,6.2
2022-04-14 12:00:00,7.4
2022-04-14 12:10:00,5.76
2022-04-14 12:20:00,6.02
2022-04-14 12:30:00,6.87
2022-04-14 12:40:00,6.31
2022-04-14 12:50:00,6.52
2022-04-14 13:00:00,6.87
2022-04-14 13:10:00,6.59
2022-04-14 13:20:00,6.8
2022-04-14 13:30:00,6.99
2022-04-14 13:40:00,7.21
2022-04-14 13:50:00,7.21
2022-04-14 14:00:00,7.28
2022-04-14 14:10:00,6.18
2022-04-14 14:20:00,6.83
2022-04-14 14:30:00,7.51
2022-04-14 14:40:00,7.34
2022-04-14 14:50:00,8.31
2022-04-14 15:00:00,7.92
2022-04-14 15:10:00,7.49
2022-04-14 15:20:00,7.48
2022-04-14 15:30:00,8.36
2022-04-14 15:40:00,7.07
2022-04-14 15:50:00,6.08
2022-04-14 16:00:00,7.14
2022-04-14 16:10:00,6.68
2022-04-14 16:20:00,7.51
2022-04-14 16:30:00,6.31
2022-04-14 16:40:00,6.02
2022-04-14 16:50:00,6.89
2022-04-14 17:00:00,6.07
2022-04-14 17:10:00,6.57
2022-04-14 17:20:00,7.11
2022-04-14 17:30:00,7.13
2022-04-14 17:40:00,6.18
2022-04-14 17:50:00,5.65
2022-04-14 18:00:00,5.54
2022-04-14 18:20:00,6.4
2022-04-14 18:30:00,6.54
2022-04-14 18:40:00,6.48
2022-04-14 18:50:00,5.5
2022-04-14 20:20:00,5.34
2022-04-14 20:40:00,7.26
2022-04-14 21:00:00,5.66
2022-04-14 21:10:00,6.6
2022-04-14 21:20:00,5.86
2022-04-14 21:30:00,6.05
2022-04-14 21:40:00,6.08
2022-04-14 21:50:00,5.48
2022-04-14 22:00:00,6.1
2022-04-14 22:10:00,5.91
2022-04-14 22:20:00,5.32
2022-04-14 22:30:00,6.76
2022-04-14 22:40:00,5.65
2022-04-14 22:50:00,5.6
2022-04-14 23:00:00,5.66
2022-04-14 23:10:00,5.43
2022-04-14 23:20:00,5.77
2022-04-14 23:30:00,5.87
2022-04-14 23:40:00,6.1
2022-04-14 23:50:00,5.7
2022-04-15 00:00:00,6.19
2022-04-15 00:10:00,5.73
2022-04-15 00:20:00,6.49
2022-04-15 00:30:00,6.9
2022-04-15 00:40:00,6.61
2022-04-15 00:50:00,6.33
2022-04-15 01:00:00,5.68
2022-04-15 01:10:00,5.68
2022-04-15 01:20:00,5.77
2022-04-15 01:30:00,5.99
2022-04-15 01:40:00,5.27
2022-04-15 01:50:00,5.17
2022-04-15 02:00:00,4.98
2022-04-15 02:10:00,5.53
2022-04-15 02:20:00,5.94
2022-04-15 02:30:00,5.94
2022-04-15 02:40:00,5.48
2022-04-15 02:50:00,5.16
2022-04-15 03:00:00,5.0
2022-04-15 03:10:00,5.36
2022-04-15 03:20:00,5.34
2022-04-15 03:30:00,5.6
2022-04-15 03:40:00,5.98
2022-04-15 03:50:00,4.83
2022-04-15 04:00:00,4.99
2022-04-15 04:10:00,5.0
2022-04-15 04:20:00,4.84
2022-04-15 04:30:00,3.59
2022-04-15 04:40:00,2.84
2022-04-15 04:50:00,2.11
2022-04-15 05:00:00,1.86
2022-04-15 05:10:00,2.3
2022-04-15 05:20:00,2.48
