DT,SODAR-100
2022-05-31 08:10:00,5.25
2022-05-31 08:20:00,5.92
2022-05-31 08:30:00,6.28
2022-05-31 08:40:00,5.85
2022-05-31 08:50:00,7.34
2022-05-31 09:00:00,6.23
2022-05-31 09:10:00,5.72
2022-05-31 09:20:00,6.03
2022-05-31 09:30:00,6.51
2022-05-31 09:40:00,6.63
2022-05-31 09:50:00,6.67
2022-05-31 10:00:00,6.99
2022-05-31 10:10:00,5.97
2022-05-31 10:20:00,7.55
2022-05-31 10:30:00,5.11
2022-05-31 10:40:00,5.51
2022-05-31 10:50:00,5.85
2022-05-31 11:00:00,5.54
2022-05-31 11:10:00,5.51
2022-05-31 11:20:00,5.53
2022-05-31 11:30:00,5.43
2022-05-31 11:40:00,5.47
2022-05-31 11:50:00,5.82
2022-05-31 12:00:00,5.94
2022-05-31 12:10:00,5.54
2022-05-31 12:20:00,6.17
2022-05-31 12:30:00,6.5
2022-05-31 12:40:00,7.13
2022-05-31 12:50:00,7.46
2022-05-31 13:00:00,8.42
2022-05-31 13:10:00,7.54
2022-05-31 13:20:00,7.82
2022-05-31 13:30:00,7.18
2022-05-31 13:40:00,8.09
2022-05-31 13:50:00,7.88
2022-05-31 14:00:00,8.55
2022-05-31 14:10:00,7.93
2022-05-31 14:20:00,7.0
2022-05-31 14:30:00,7.1
2022-05-31 14:40:00,7.89
2022-05-31 14:50:00,7.57
2022-05-31 15:00:00,8.0
2022-05-31 15:10:00,8.38
2022-05-31 15:20:00,7.88
2022-05-31 15:30:00,8.27
2022-05-31 15:40:00,7.72
2022-05-31 15:50:00,7.47
2022-05-31 16:00:00,8.28
2022-05-31 16:10:00,8.79
2022-05-31 16:20:00,9.75
2022-05-31 16:30:00,8.1
2022-05-31 16:40:00,7.35
2022-05-31 16:50:00,7.37
2022-05-31 17:00:00,8.03
2022-05-31 17:10:00,8.37
2022-05-31 17:20:00,7.07
2022-05-31 17:30:00,7.43
2022-05-31 17:40:00,7.35
2022-05-31 17:50:00,7.12
2022-05-31 18:00:00,7.34
2022-05-31 18:10:00,8.05
2022-05-31 18:20:00,7.92
2022-05-31 18:30:00,7.25
2022-05-31 18:40:00,6.79
2022-05-31 18:50:00,8.33
2022-05-31 19:00:00,8.64
2022-05-31 19:10:00,8.8
2022-05-31 19:20:00,8.91
2022-05-31 19:30:00,7.26
2022-05-31 19:40:00,7.92
2022-05-31 19:50:00,7.0
2022-05-31 20:00:00,6.13
2022-05-31 20:10:00,7.03
2022-05-31 20:20:00,6.94
2022-05-31 20:30:00,7.42
2022-05-31 20:40:00,6.54
2022-05-31 20:50:00,5.58
2022-05-31 21:00:00,5.5
2022-05-31 21:10:00,6.87
2022-05-31 21:20:00,6.56
2022-05-31 21:30:00,6.96
2022-05-31 21:40:00,7.61
2022-05-31 21:50:00,7.79
2022-05-31 22:00:00,7.59
2022-05-31 22:10:00,8.37
2022-05-31 22:20:00,9.09
2022-05-31 22:30:00,8.27
2022-05-31 22:40:00,8.77
2022-05-31 22:50:00,7.92
2022-05-31 23:00:00,7.41
2022-05-31 23:10:00,7.98
2022-05-31 23:20:00,8.61
2022-05-31 23:30:00,7.95
2022-05-31 23:40:00,8.85
2022-05-31 23:50:00,8.31
2022-06-01 00:00:00,7.45
2022-06-01 00:10:00,7.54
2022-06-01 00:20:00,7.29
2022-06-01 00:30:00,6.83
2022-06-01 00:40:00,6.89
2022-06-01 00:50:00,3.75
2022-06-01 01:00:00,4.66
2022-06-01 01:10:00,4.98
2022-06-01 01:20:00,4.95
2022-06-01 01:30:00,4.92
2022-06-01 01:40:00,5.48
2022-06-01 01:50:00,5.53
2022-06-01 02:00:00,5.55
2022-06-01 02:10:00,5.17
2022-06-01 02:20:00,6.27
2022-06-01 02:30:00,6.34
2022-06-01 02:40:00,5.98
2022-06-01 02:50:00,6.27
2022-06-01 03:00:00,5.74
2022-06-01 03:10:00,5.98
2022-06-01 03:20:00,6.25
2022-06-01 03:30:00,5.9
2022-06-01 03:40:00,6.16
