DT,SODAR-100
2022-03-11 22:30:00,0.85
2022-03-11 22:40:00,1.27
2022-03-11 22:50:00,2.12
2022-03-11 23:00:00,2.33
2022-03-11 23:10:00,2.97
2022-03-11 23:20:00,3.14
2022-03-11 23:30:00,3.62
2022-03-11 23:40:00,3.31
2022-03-11 23:50:00,3.56
2022-03-12 00:00:00,2.83
2022-03-12 00:10:00,1.99
2022-03-12 00:20:00,1.61
2022-03-12 00:30:00,1.17
2022-03-12 00:40:00,0.76
2022-03-12 00:50:00,1.3
2022-03-12 01:00:00,0.78
2022-03-12 01:10:00,0.81
2022-03-12 01:20:00,1.37
2022-03-12 01:30:00,1.67
2022-03-12 01:40:00,1.63
2022-03-12 01:50:00,1.5
2022-03-12 02:00:00,1.67
2022-03-12 02:10:00,1.38
2022-03-12 02:20:00,1.79
2022-03-12 02:30:00,2.05
2022-03-12 02:40:00,2.45
2022-03-12 02:50:00,2.12
2022-03-12 03:00:00,2.17
2022-03-12 03:10:00,2.62
2022-03-12 03:20:00,2.3
2022-03-12 03:30:00,2.82
2022-03-12 03:40:00,2.72
2022-03-12 03:50:00,2.71
2022-03-12 04:00:00,2.48
2022-03-12 04:10:00,2.86
2022-03-12 04:20:00,2.79
2022-03-12 04:30:00,2.83
2022-03-12 04:40:00,2.35
2022-03-12 04:50:00,2.6
2022-03-12 05:00:00,2.33
2022-03-12 05:10:00,1.89
2022-03-12 05:20:00,1.51
2022-03-12 05:30:00,1.56
2022-03-12 05:40:00,1.64
2022-03-12 05:50:00,2.84
2022-03-12 06:00:00,2.98
2022-03-12 06:10:00,3.36
2022-03-12 06:20:00,3.76
2022-03-12 06:30:00,3.98
2022-03-12 06:40:00,4.3
2022-03-12 06:50:00,4.81
2022-03-12 07:00:00,4.8
2022-03-12 07:10:00,4.51
2022-03-12 07:20:00,4.83
2022-03-12 07:30:00,4.57
2022-03-12 07:40:00,4.06
2022-03-12 07:50:00,3.86
2022-03-12 08:00:00,3.39
2022-03-12 08:10:00,3.44
2022-03-12 08:20:00,3.48
2022-03-12 08:30:00,3.11
2022-03-12 08:40:00,3.42
2022-03-12 08:50:00,2.5
2022-03-12 09:00:00,1.76
2022-03-12 09:10:00,2.0
2022-03-12 09:20:00,1.58
2022-03-12 09:30:00,1.8
2022-03-12 09:40:00,2.16
2022-03-12 09:50:00,1.96
2022-03-12 10:00:00,1.88
2022-03-12 10:10:00,1.86
2022-03-12 10:20:00,1.59
2022-03-12 10:30:00,2.92
2022-03-12 10:40:00,2.41
2022-03-12 10:50:00,2.82
2022-03-12 11:00:00,3.29
2022-03-12 11:10:00,4.71
2022-03-12 11:20:00,3.76
