DT,SODAR-100
2022-04-04 11:00:00,9.24
2022-04-04 11:10:00,7.76
2022-04-04 11:20:00,8.84
2022-04-04 11:30:00,8.38
2022-04-04 11:40:00,9.08
2022-04-04 11:50:00,8.84
2022-04-04 12:00:00,9.42
2022-04-04 12:10:00,9.2
2022-04-04 12:20:00,8.27
2022-04-04 12:30:00,8.85
2022-04-04 12:40:00,10.16
2022-04-04 12:50:00,10.34
2022-04-04 13:00:00,11.0
2022-04-04 13:10:00,11.45
2022-04-04 13:20:00,10.26
2022-04-04 13:30:00,10.01
2022-04-04 13:40:00,10.3
2022-04-04 13:50:00,9.1
2022-04-04 14:00:00,9.27
2022-04-04 14:10:00,7.76
2022-04-04 14:20:00,4.37
2022-04-04 14:30:00,3.16
2022-04-04 14:40:00,1.95
2022-04-04 14:50:00,1.14
2022-04-04 15:00:00,5.91
2022-04-04 15:10:00,7.58
2022-04-04 15:20:00,7.68
2022-04-04 15:30:00,6.2
2022-04-04 15:40:00,7.14
2022-04-04 16:50:00,5.6
2022-04-04 17:00:00,5.68
2022-04-04 17:10:00,6.43
2022-04-04 17:20:00,7.27
2022-04-04 17:30:00,7.69
2022-04-04 17:40:00,7.56
2022-04-04 17:50:00,5.47
2022-04-04 18:00:00,6.08
2022-04-04 18:10:00,6.97
2022-04-04 18:20:00,7.17
2022-04-04 18:30:00,6.91
2022-04-04 18:40:00,6.93
2022-04-04 18:50:00,7.08
2022-04-04 19:00:00,7.19
2022-04-04 19:10:00,7.36
2022-04-04 19:20:00,7.0
2022-04-04 19:30:00,7.6
2022-04-04 19:40:00,7.1
2022-04-04 19:50:00,6.76
2022-04-04 20:00:00,6.56
2022-04-04 20:10:00,7.11
2022-04-04 20:20:00,6.78
2022-04-04 20:30:00,5.05
2022-04-04 20:50:00,7.19
2022-04-04 21:00:00,7.56
2022-04-04 21:10:00,5.79
2022-04-04 21:20:00,6.86
2022-04-04 21:30:00,6.77
2022-04-04 21:40:00,4.17
2022-04-04 21:50:00,4.89
2022-04-04 22:00:00,6.38
2022-04-04 22:10:00,5.71
2022-04-04 22:50:00,10.0
2022-04-04 23:00:00,10.81
2022-04-04 23:40:00,8.75
2022-04-04 23:50:00,8.24
2022-04-05 00:40:00,2.95
2022-04-05 00:50:00,3.09
2022-04-05 01:00:00,2.4
2022-04-05 01:10:00,2.67
2022-04-05 01:20:00,3.45
2022-04-05 01:30:00,3.69
2022-04-05 01:40:00,4.45
2022-04-05 01:50:00,5.0
2022-04-05 02:00:00,5.14
2022-04-05 02:10:00,5.15
2022-04-05 02:20:00,4.23
2022-04-05 02:30:00,4.38
2022-04-05 02:40:00,4.56
2022-04-05 02:50:00,3.64
2022-04-05 03:00:00,3.51
2022-04-05 03:10:00,3.47
2022-04-05 03:20:00,3.7
2022-04-05 03:30:00,3.9
2022-04-05 03:40:00,4.02
2022-04-05 03:50:00,3.97
2022-04-05 04:00:00,3.97
2022-04-05 04:10:00,4.27
2022-04-05 04:20:00,4.36
2022-04-05 04:30:00,4.8
2022-04-05 04:40:00,5.34
2022-04-05 04:50:00,5.44
2022-04-05 05:00:00,5.79
2022-04-05 05:10:00,5.35
2022-04-05 05:20:00,5.04
2022-04-05 05:30:00,5.07
2022-04-05 05:40:00,5.99
2022-04-05 05:50:00,6.25
2022-04-05 06:00:00,6.26
2022-04-05 06:10:00,5.6
2022-04-05 06:20:00,5.84
2022-04-05 06:30:00,5.39
2022-04-05 06:40:00,5.23
2022-04-05 06:50:00,4.6
2022-04-05 07:00:00,4.61
2022-04-05 07:10:00,4.29
2022-04-05 07:20:00,4.98
2022-04-05 07:30:00,5.06
2022-04-05 07:40:00,4.34
2022-04-05 07:50:00,4.46
2022-04-05 08:00:00,4.74
2022-04-05 08:10:00,4.43
2022-04-05 08:20:00,3.98
2022-04-05 08:30:00,3.84
2022-04-05 08:40:00,3.14
2022-04-05 08:50:00,3.52
2022-04-05 09:00:00,3.58
2022-04-05 09:10:00,3.35
2022-04-05 09:20:00,3.88
2022-04-05 09:30:00,4.33
2022-04-05 09:40:00,4.22
2022-04-05 09:50:00,4.45
2022-04-05 10:00:00,4.87
2022-04-05 10:10:00,4.03
2022-04-05 10:20:00,4.67
2022-04-05 10:30:00,4.23
2022-04-05 10:40:00,3.99
2022-04-05 10:50:00,3.63
2022-04-05 11:00:00,3.62
2022-04-05 11:10:00,3.02
2022-04-05 11:20:00,2.73
2022-04-05 11:30:00,2.93
2022-04-05 11:40:00,3.53
2022-04-05 11:50:00,3.04
2022-04-05 12:00:00,4.57
2022-04-05 12:10:00,1.34
2022-04-05 12:20:00,1.53
2022-04-05 12:30:00,3.12
2022-04-05 12:40:00,2.99
2022-04-05 12:50:00,5.17
2022-04-05 13:00:00,6.25
2022-04-05 13:10:00,3.95
2022-04-05 13:20:00,6.2
2022-04-05 13:30:00,5.74
2022-04-05 13:40:00,5.22
2022-04-05 13:50:00,6.76
2022-04-05 14:00:00,6.41
2022-04-05 14:10:00,6.11
2022-04-05 14:20:00,5.73
2022-04-05 14:30:00,5.73
2022-04-05 14:40:00,6.28
2022-04-05 14:50:00,5.63
2022-04-05 15:00:00,5.42
2022-04-05 15:10:00,5.56
2022-04-05 15:20:00,5.34
2022-04-05 15:30:00,5.18
2022-04-05 15:40:00,5.18
2022-04-05 15:50:00,5.81
2022-04-05 16:00:00,4.91
2022-04-05 16:10:00,4.73
2022-04-05 16:20:00,5.47
2022-04-05 16:30:00,5.08
2022-04-05 16:40:00,4.34
2022-04-05 16:50:00,4.74
2022-04-05 17:00:00,4.45
2022-04-05 17:10:00,4.82
2022-04-05 17:20:00,4.17
2022-04-05 17:30:00,4.84
2022-04-05 17:40:00,3.46
2022-04-05 17:50:00,3.93
2022-04-05 18:00:00,4.12
2022-04-05 18:10:00,4.8
2022-04-05 18:20:00,5.28
2022-04-05 18:30:00,5.83
2022-04-05 18:40:00,6.05
2022-04-05 18:50:00,4.42
2022-04-05 19:00:00,4.24
2022-04-05 19:10:00,4.27
2022-04-05 19:20:00,4.45
2022-04-05 19:40:00,32.22
2022-04-05 19:50:00,30.77
2022-04-05 20:00:00,4.27
2022-04-05 20:10:00,4.29
2022-04-05 20:20:00,4.77
2022-04-05 20:30:00,4.95
2022-04-05 20:40:00,5.24
2022-04-05 20:50:00,5.36
