DT,SODAR-100
2022-03-22 10:40:00,4.64
2022-03-22 10:50:00,2.93
2022-03-22 11:00:00,4.76
2022-03-22 11:10:00,3.89
2022-03-22 11:20:00,3.79
2022-03-22 11:30:00,5.27
2022-03-22 11:40:00,5.73
2022-03-22 11:50:00,5.22
2022-03-22 12:00:00,5.51
2022-03-22 12:10:00,6.02
2022-03-22 12:20:00,5.91
2022-03-22 12:30:00,6.8
2022-03-22 12:40:00,5.61
2022-03-22 12:50:00,6.97
2022-03-22 13:00:00,6.94
2022-03-22 13:10:00,7.85
2022-03-22 13:20:00,5.92
2022-03-22 13:30:00,6.91
2022-03-22 13:40:00,6.87
2022-03-22 13:50:00,7.35
2022-03-22 14:00:00,7.74
2022-03-22 14:10:00,6.89
2022-03-22 14:20:00,7.93
2022-03-22 14:30:00,7.64
2022-03-22 14:40:00,8.59
2022-03-22 14:50:00,7.01
2022-03-22 15:00:00,7.47
2022-03-22 15:10:00,7.48
2022-03-22 15:20:00,6.47
2022-03-22 15:30:00,7.24
2022-03-22 15:40:00,8.65
2022-03-22 15:50:00,7.48
2022-03-22 16:00:00,7.51
2022-03-22 16:10:00,7.24
2022-03-22 16:20:00,8.05
2022-03-22 16:30:00,8.65
2022-03-22 16:40:00,9.31
2022-03-22 16:50:00,7.35
2022-03-22 17:00:00,7.77
2022-03-22 17:10:00,6.6
2022-03-22 17:20:00,7.79
2022-03-22 17:30:00,7.24
2022-03-22 17:40:00,6.78
2022-03-22 17:50:00,6.7
2022-03-22 18:00:00,8.0
2022-03-22 18:10:00,8.23
2022-03-22 18:20:00,7.1
2022-03-22 21:40:00,5.95
2022-03-22 22:00:00,4.36
2022-03-22 22:10:00,4.18
2022-03-22 22:20:00,5.08
2022-03-22 22:30:00,4.55
2022-03-22 22:40:00,5.4
2022-03-22 22:50:00,5.34
2022-03-22 23:00:00,5.54
2022-03-22 23:10:00,4.77
2022-03-22 23:20:00,4.14
2022-03-22 23:30:00,4.82
2022-03-22 23:40:00,5.57
2022-03-22 23:50:00,4.9
2022-03-23 00:10:00,2.93
2022-03-23 00:20:00,3.84
2022-03-23 00:30:00,6.42
2022-03-23 00:50:00,2.78
2022-03-23 01:00:00,4.29
2022-03-23 01:10:00,4.43
2022-03-23 01:20:00,5.72
2022-03-23 01:50:00,0.77
2022-03-23 02:00:00,1.19
2022-03-23 02:10:00,1.9
2022-03-23 02:20:00,0.11
2022-03-23 02:30:00,0.21
2022-03-23 02:40:00,0.81
2022-03-23 02:50:00,1.32
2022-03-23 03:10:00,0.34
2022-03-23 03:20:00,2.33
2022-03-23 03:30:00,2.63
2022-03-23 03:40:00,2.29
2022-03-23 03:50:00,2.51
